,Zone,Park,Day_Visitation,Camper_Nights,Total_Visitation,July_August_Car_Camping_Occupancy,Biking,Birding,Boating,Canoeing,Discovery_Program,Fishing,Hiking,Swimming,Hunting,Winter_Activities,Disc_Golf,Shuttle_Service,Kayaking,Stand-Up_Paddleboarding,Dark_Sky_Viewing,Biking_Mountain Bike
0,7,aaron,2672.8,19459.0,22131.8,0.46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,algonquin,224904.0,809473.3999999999,1034377.3999999999,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,arrowhead,120360.0,139690.4,260050.4,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7,arrowlake,0.0,10035.0,10035.0,0.81,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,awenda,55026.0,97179.4,152205.4,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,balsamlake,38624.0,139425.80000000002,178049.80000000002,0.84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,basslake,21950.0,54211.5,76161.5,0.88,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4,batchawanabay,38068.799999999996,0.0,38068.799999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7,bluelake,6028.8,33554.399999999994,39583.2,0.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2,bonecho,26897.0,167247.0,194144.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3,bonnechere,5143.6,43183.6,48327.2,0.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,brontecreek,163484.0,11298.3,174782.3,0.51,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12,7,caliperlake,827.7,11570.199999999999,12397.9,0.36,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2,charlestonlake,23370.9,76503.09999999999,99874.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4,chutes,6765.900000000001,34149.0,40914.9,0.93,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1,craigleith,22337.7,30219.0,52556.7,0.78,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
