Park, LAT, LNG
aaron,49.7578805,-92.6537816
algonquin,45.8371591,-78.3791239
arrowhead,45.3915527,-79.2146783
arrowlake,48.176964,-90.22727119999999
awenda,44.81740019999999,-79.9834094
balsamlake,44.6256444,-78.86472429999999
basslake,44.6023977,-79.4854253
batchawanabay,46.9409303,-84.5487812
bluelake,49.9034135,-93.4726929
bonecho,44.8975398,-77.20866939999999
bonnechere,45.6628248,-77.5708995
brontecreek,43.4063552,-79.77131500000002
caliperlake,49.0633619,-93.9137935
charlestonlake,44.5027778,-76.04055559999999
chutes,46.21807829999999,-82.077122
craigleith,44.5364194,-80.3492206
darlington,43.8725539,-78.7787889
driftwood,46.1899155,-77.8522406
earlrowe,44.15491249999999,-79.90540680000001
emily,44.3367813,-78.5352625
eskerlakes,48.3234798,-79.8787322
fairbank,46.47217879999999,-81.43956899999999
ferris,44.2913461,-77.7938522
finlaysonpoint,47.0546532,-79.8049881
fitzroy,45.4819431,-76.2136992
forksofthecredit,43.8238974,-80.0063414
frenchriver,45.89916700000001,-80.8398541
frontenac,44.50767159999999,-76.5531634
fushimilake,49.8380032,-83.9245081
grundylake,45.9397965,-80.57476400000002
halfwaylake,46.9075242,-81.6325866
inverhuron,44.2997333,-81.5880866
ivanhoelake,48.1740302,-82.5018606
jamesnallan,42.848942,-79.6632466
johnepearce,42.6067596,-81.44202949999999
kakabekafalls,48.3971359,-89.63243
kapkigiwan,47.8006711,-79.8825349
kawarthahighlands,44.745952,-78.2200798
kettlelakes,48.5692892,-80.8665532
killarney,46.01304630000001,-81.4017487
killbear,45.3590805,-80.2136888
komoka,42.9530318,-81.3840124
ladyevelynsmoothwater,47.3741999,-80.5213091
lakeonthemountain,44.0398731,-77.0560405
lakestpeter,45.3378006,-78.0226685
lakesuperior,47.7510684,-84.8359108
longpoint,42.5814309,-80.3907649
macgregorpoint,44.4139114,-81.45526559999999
macleod,49.689204,-86.89964049999999
mara,44.5875601,-79.359051
marksburnham,44.2976255,-78.2722419
martenriver,46.7331131,-79.8027455
mcraepoint,44.5680571,-79.3304106
mikisew,45.8213878,-79.5129567
miserybay,45.7921839,-82.7354934
missinaibi,48.4045089,-83.5244057
mississagi,46.6006735,-82.6828646
monocliffs,44.0461406,-80.06176620000001
murphyspoint,44.7818636,-76.23747159999999
nagagamisis,49.5135798,-84.80706909999999
neys,48.7702057,-86.5815353
northbeach,43.9577511,-77.5257968
oastlerlake,45.3113527,-79.9643013
ojibway,49.9836396,-92.144579117
ouimetcanyon,48.7895139,-88.6712946
oxtongueriverraggedfalls,45.3906707,-78.9079829
pakwash,50.7844542,-93.4457087
pancakebay,46.9693434,-84.6871068
petroglyphs,44.621559,-78.04401399999999
pigeonriver,48.00512,-89.5952987
pinery,43.2482354,-81.8224354
pointfarms,43.8013554,-81.700959
portbruce,42.6547959,-81.0130515
portburwell,42.64100029999999,-80.81068619999999
potholes,47.958493,-84.26831 
presquile,44.0098007,-77.7420364
quetico,48.67496509999999,-91.1259929
rainbowfalls,48.843837,-87.3959376
renebrunelle,49.4174686,-82.13932489999999
restoule,46.0732855,-79.7831367
rideauriver,45.0599809,-75.67072859999999
rockpoint,42.849149,-79.55191429999999
rondeau,42.31736009999999,-81.8470973
rushingriver,49.6869082,-94.22393269999999
samueldechamplain,46.2839009,-78.8544047
sandbanks,43.90702659999999,-77.2392234
sandbarlake,49.464603,-91.553049
saublefalls,44.6740629,-81.2567835
selkirk,42.8158039,-79.9578763
sharbotlake,44.7730645,-76.72038169999999
shorthills,43.0964318,-79.2823459
sibbaldpoint,44.3219564,-79.3254315
silentlake,44.9231957,-78.07121310000001
silverfalls,48.6884314,-89.6270378
silverlake,44.8320332,-76.5764677
siouxnarrows,49.4264163,-94.0477367
sixmilelake,44.8980651,-79.75696719999999
sleepinggiant,48.3693046,-88.804575
spanishriver,46.70102809999999,-81.7288613
springwater,44.444272,-79.7589914
sturgeonbay,45.62368970000001,-80.4159447
themassasauga,45.2641219,-80.00826479999999
theshoals,47.8659809,-83.8468875
tidewater,51.2627966,-80.6241543
turkeypoint,42.7045507,-80.334486
voyageur,45.55831,-74.4518921
wabakimi,50.7578861,-89.5369022
wakamilake,47.4816312,-82.846108
wasagabeach,44.48701399999999,-80.0637055
wheatley,42.0886953,-82.44548569999999
whitelake,48.7140999,-85.6594562
windylake,46.6191484,-81.4461277
woodlandcaribou,51.0790067,-94.85076579999999
